disease	efo_iri
imprinting effects on cleft palate	HP_0000175
response to cytidine analogues (gemcitabine)	N/A
response to tnf antagonist treatment	N/A
metabolite levels (hva-5-hiaa factor score)	EFO_0000618
response to cytadine analogues (cytosine arabinoside)	N/A
chronic lymphocytic thyroiditis	EFO_0006812
"nicotine dependence (smoking), age at smoking initiation"	EFO_0003768
autoimmune hepatitis type-1	N/A
serum prostate-specific antigen levels	EFO_0000673
calcium/phosphorus disorders	EFO_0005769
total attention deficit/hyperactivity disorder (adhd) sympotoms (mother's warmth as environmental variable)	EFO_0003888
hemorrhage in early pregnancy	N/A
flucloxacillin drug-induced liver injury	EFO_0004228
diastolic blood pressure (nighttime mean 24-hour)	EFO_0000537
uric acid (males)	EFO_0004274
hiv-1 disease progression (time to aids diagnosis)	EFO_0000764
handedness in individuals with dyslexia (pegq test)	EFO_0003889
blood glucose - glucose tolerance test	HP_0000833
apoa1 (apolipoprotein ai)	N/A
total plasma homocysteine	EFO_0003914
daunorubicin-induced cytotoxicity as measured by daunorubicin ic50	N/A
all-cause death (mortality) on dialysis in patients with type 2 diabetes	HP_0000083
fasting glucose-related traits	N/A
nutritional deficiency anemia	EFO_0001069
advanced age-related macular degeneration	EFO_0001365
nonobstructive azoospermia	EFO_0000279
creatine kinase in statin users	N/A
paresthesia in response to topiramate treatment in healthy volunteers	EFO_0000000
vldl cholesterol mean size lipoprotein fraction concentration	N/A
paucibacillary leprosy	EFO_0001054
prognosis in advanced non-small cell lung cancer following treatment with platinum-based chemotherapy	N/A
free-to-total prostate-specific antigen (%fpsa)	EFO_0000673
"lung function, forced expiratory volume in 1 second (fev1) percent predicted (in nonasthmatic participants)"	EFO_0003818
monocyte count	Orphanet_2442
alzheimer's disease (apoe4 positive)	EFO_0000249
nephrotic syndrome (acquired)	EFO_0004255
smoking cessation	EFO_0004319
gastritis	EFO_0000337
dementias	EFO_0003862
lung cancer in never smokers	EFO_0001071
hypertension (early onset hypertension)	EFO_0000537
highly sensitive cardiac troponin-t (hs-ctnt)	EFO_0003777
retinal nerve fibre layer thickness (superior average)	EFO_0000516
aneurysm of artery of lower extremity	HP_0002617
alcohol dependence	EFO_0003829
sexual dysfunction (female)	EFO_0004714
maternal transmission distortion	N/A
propylthiouracil (prop) paper taste intensity	N/A
serum free triiodothyronine	HP_0000820
pulmonary artery enlargement in chronic obstructive pulmonary disease	EFO_0003822
iron deficiency (serum ferritin concentration)	HP_0001891
retinal arteriolar caliber	EFO_0004264
response to haloperidol in psychosis	N/A
acquired deformities of limbs	N/A
other disorders of the nervous system	EFO_0000618
systolic blood pressure in sickle cell anemia	EFO_0000537
alcohol and nicotine co-dependence	EFO_0003890
ventricular fibrillation during acute myocardial infarction (mi) (early onset)	EFO_0004287
lymphocyte levels (cd4)	HP_0100827
"eating disorders, drive for thinness"	N/A
2 hour glucose	N/A
iris furrow contractions	N/A
psoriasis (type 2)	EFO_0000676
attention deficit hyperactivity disorder (time to onset)	EFO_0003888
serum dehydroepiandrosterone sulphate (dheas)	N/A
biliary atresia	Orphanet_30391
esophageal squamous-cell carcinoma in smokers (esophageal cancer)	EFO_1000055
hirschsprung disease	HP_0002251
total hip bone mineral density (bmd)	N/A
trough concentrations of active metabolite of dabigatran etexilate after treatment with dabigatran etexilate	EFO_0000000
fasting serum tbf-beta1 (pg/ml) in children	N/A
cognitive response to topiramate treatment as measured by the controlled oral word association cognitive test	EFO_0000000
other erythrocyte phenotypes	EFO_0004272
pr interval in tripanosoma cruzi seropositivity	EFO_0004269
glycosylated haemoglobin levels	EFO_0000400
motion sickness	N/A
chronic lymphocytic leukemia	EFO_0000095
hip bone size	EFO_0004260
fat mass change (kg/y) in children	N/A
fasting blood glucose in high bmi subjects	N/A
"type 2 diabetes adjusted for body mass index (bmi), age, gender"	EFO_0001360
hiv-1 mother-to-child transmission	EFO_0000764
sepsis from pneumonia (survival)	N/A
breast cancer (early onset)	EFO_0000305
systemic sclerosis (anti-topoisomerase-i antibody positive)	EFO_0000717
lewy body disease	EFO_0006792
vwf levels	Orphanet_903
uric acid in serum	EFO_0004274
major depressive disorder (narrow definition) (females)	EFO_0003761
alanine aminotransferase (alt) activity	EFO_0001421
gestational age (wk) in children	N/A
intelligence	EFO_0004337
breast cancer (male)	N/A
overall survival in patients who received platinum-based chemotherapy for advanced-stage non-small cell lung cancer (patients with stage iiib(wet) and iv disease)	N/A
serum thyroid stimulating hormone (tsh) levels	HP_0000820
platelet aggregation	HP_0004936
schizophrenia	EFO_0000692
"cleft lip, with or without cleft palate, in asian ancestry population"	EFO_0003959
hypersomnia (hla-dqb1*06:02 negative)	N/A
cognitive response of healthy volunteers to topiramate treatment as measure by the digit span backward cognitive test	EFO_0000000
diabetic retinopathy in type 2 diabetes	EFO_0003770
urinary symptoms following radiotherapy for prostate cancer 2-3yrs	EFO_0000000
cardia gastric cancer	EFO_0003897
type 2 diabetes without obesity	EFO_0001360
adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule)	EFO_0000000
unspecified polyarthropathy or polyarthritis	EFO_0005856
plasma aldosterone concentration corrected by plasma renin activity	EFO_0000537
comorbid alcohol and nicotine dependence	EFO_0003890
trauma associated acute lung injury	EFO_0004610
psoriasis and psoriatic arthritis	EFO_0000676
rr interval	HP_0001649
opioid sensitivity	EFO_0003843
elbow pain	EFO_0003843
cognitive test performance	N/A
left ventricular systolic dysfunction (lv systolic dysfunction)	N/A
sporadic amyotrophic lateral sclerosis (als) site of onset	EFO_0000253
corticobasal degeneration	N/A
leukocyte counts	Orphanet_2442
contrast sensitivity	N/A
alanine aminotransferase (alt) in serum	EFO_0001421
glycan peak 10 in women	GO_0070085
anti-dsdna autoantibody status in systemic lupus erythematosus (sle) patients	EFO_0002690
diseases of blood and blood-forming organs	EFO_0005803
bone mineral density (bmd) (g/cm2)	N/A
triglycerides (iauctg)	EFO_0004211
nonobese type 2 diabetes	EFO_0001360
atopic sensitization in skin allergy test	EFO_0003785
complement c3 and c4 levels	N/A
"platelet aggregation to adp prp post-aspirin, in african ancestry"	HP_0004936
serum glycine (males)	N/A
severe malarial anemia	EFO_0001068
response to angiotensin ii receptor blocker therapy	N/A
circulating testosterone levels	EFO_0001379
red vs non-red hair color	EFO_0003924
suicidal ideation with anti-depressant treatment	EFO_0004320
lack of normal physiological development	HP_0001508
serum potassium	HP_0002153
abnormality of red blood cells	EFO_0005803
hiv-1 replication	EFO_0000764
skin fluorescence	EFO_0000400
renal function-related traits (scr)	HP_0000083
"asthma, childhood onset"	EFO_0000270
eosinophil count	HP_0001880
pharmacokinetics of olanzapine in severe mental disorder (concentration dose ratio)	EFO_0000000
"nicotine dependence (smoking), smoking initiation (males)"	EFO_0003768
adolescent idiopathic scoliosis (female)	EFO_0004273
fluid intelligence (combination of multiple tests)	EFO_0004337
sarcoidosis (chronic sarcoidosis)	Orphanet_797
"hip geometry, neck width, gender differentiated in females"	EFO_0003882
fasting serum testosterone (ng/ml) in children	N/A
mns system s antigen	EFO_0000513
freckling	EFO_0003963
prostate cancer (advanced prostate cancer)	EFO_0000673
hypertension in males	EFO_0000537
platelet aggregation in response to collagen	N/A
urinary free norepinephrine (nmol/d) in children	N/A
bone density (estimated by t-score at midshaft tibia)	N/A
pc2 - femoral cross-sectional geometry (female)	EFO_0003882
mns system n antigen	EFO_0000513
chronic obstructive pulmonary disease (copd) (in never smokers)	EFO_0000341
cold medicine related stevens-johnson syndrome/toxic epidermal necrolysis (sjs-ten) with severe mucosal involvement	EFO_0004276
dysphagia	N/A
activated partial thromboplastin time	N/A
seborheic dermatitis	HP_0001051
congenital cataract and lens anomalies	N/A
otalgia	N/A
response to tocilizumab for the treatment of rheumatoid arthritis (change in c-reactive protein measure at week 08)	N/A
asthma or chronic obstructive pulmonary disease	EFO_0000684
serum phytosterol (sitosterol normalized to cholesterol)	N/A
superotemporal rim area	EFO_0000516
diabetic nephropathy in type 1 diabetes	EFO_0000401
blood pressure change with age in men	EFO_0000537
atopy	EFO_0003785
exceptional longevity	EFO_0004300
openness	HP_0012075
waist hip ratio tails (upper and lower 5th percentiles)	N/A
"lung function, forced expiratory volume in 1 second (fev1), in ever smokers"	EFO_0003818
glycan peak 10	GO_0070085
"lung function, ratio of forced expiratory volume in 1 second (fev1) to forced vital capacity (fvc) (fev1/fvc) (in asthmatic participants)"	EFO_0003818
chronic kidney disease	EFO_0003884
urate levels in overweight individuals	EFO_0004274
percent mammographic density	EFO_0000305
metabolic syndrome domains (elevated plasma glucose)	EFO_0000195
etoposide-induced cytotoxicity as measured by etoposide ic50	N/A
rheumatoid arthritis and celiac disease	EFO_0000540
asthma (severe asthma)	EFO_0000270
colorectal adenoma (excluding hyperplasic)	EFO_0000232
height (adolescents)	EFO_0004339
p. falciparum infection intensity and mild malaria attack (intensity of plasmodial infection)	EFO_0001068
femoral bone neck shaft angle (men)	EFO_0003882
hiv-1 susceptibility/resistance	EFO_0000765
carotid intima media thickness	EFO_0003781
nasopharyngeal carcinoma	EFO_0004252
fracture of foot	EFO_0003931
liver enzyme levels (gamma-glutamyl transferase)	EFO_0001421
plasma homocysteine levels (post-methionine load test)	EFO_0003914
acylcarnitine levels	N/A
alcohol consumption (maxi-drinks)	EFO_0004329
abnormal glucose	N/A
type 1 diabetes	EFO_0001359
age at first tooth	HP_0000706
adverse response to chemotherapy (neutropenia/leucopenia) (etoposide)	EFO_0000000
adult fetal hemoblogbin levels (hbf) by f cell levels	EFO_0004272
ear morphology	N/A
basic mathematical ability	EFO_0004337
cognitive response to topiramate treatment	EFO_0000000
digestive system disease (barrett's esophagus and esophageal adenocarcinoma combined)	EFO_0002916
pharmacokinetics of antiepileptic drugs in severe mental disorder (concentration drug ratio)	EFO_0000000
lung function decline in mild to moderate chronic obstructive pulmonary disease (copd)	EFO_0000341
corneal structure	N/A
angiotensin-converting enzyme (ace) activity	EFO_0000537
vitamin d deficiency	EFO_0003762
"myocardial infarction (mi), sudden cardiac death in st-elevation myocardial infarction with ventricular fibrillation"	EFO_0000612
circulating phylloquinone levels	HP_0011892
noninflammatory disorders of cervix	N/A
population differentiation markers among great britain	N/A
hdl cholesterol (male)	Orphanet_425
temperament	N/A
5-fluorouracil induced diarrhoea in response to colorectal cancer treatment	EFO_0000000
"triglycerides, log mmol/l"	EFO_0004211
hiv-1 infection (natural long-term nonprogression)	EFO_0000765
percentage of total caloric intake from macronutrients (carbohydrates)	EFO_0003939
brain lesion distribution in multiple sclerosis	EFO_0003885
drug-induced liver injury-to all dili cases with age of onset greater than the median of 57.5 years	EFO_0004228
cardiac troponin-t levels	EFO_0003777
hepatitis c infection (chronic versus spontaneously resolved)	EFO_0004220
metabolic syndrome domains (atherogenic dyslipidemia - pc2)	EFO_0000195
percent cell survival after 10 umol/l carboplatin	N/A
atopic or contact dermatitis	EFO_0000274
breast cancer (brca1 and brca2-carriers)	EFO_0000305
polychlorinated biphenyl levels	EFO_0000000
platelet aggregation in response to adp 5um/10um	N/A
dental caries	EFO_0003819
clara cell secretory protein levels in patients with chronic obstructive pulmonary disease (copd)	EFO_0000341
"multiple sclerosis, age of onset"	EFO_0003885
plasma clusterin levels	EFO_0000249
other specified cardiac dysrhythmias	EFO_0004269
femoral neck bone mineral density (bmd) (males)	N/A
"coronary artery disease (cad), combined control dataset, gender differentiated"	EFO_0000378
hiv-1 viral setpoint	EFO_0000764
anti-hepatitis c virus treatment response (null virologic responder to pegylated interferon-alpha and ribavarin therapy)	N/A
response to tocilizumab for the treatment of rheumatoid arthritis (change in c-reactive protein)	N/A
mammographic density (non-dense area)	EFO_0000305
alzheimer's disease (apoe4/e3 heterozygotes)	EFO_0000249
decrease in fev1 (in asthmatic participants)	EFO_0003818
antipsychotic drug-induced weight gain	EFO_0000000
"congenital anomalies of lower limb, including pelvic girdle"	N/A
iatrogenic hypotension	EFO_0005251
caudate nucleus volume	N/A
hiv-associated dementia	EFO_0002608
response to angiotensin ii receptor blocker therapy (opposite direction w/ diuretic therapy)	N/A
rapid visual processing	EFO_0003925
circulating homocysteine concentration (?mol/l)	EFO_0003914
eye color	EFO_0003949
arsenic metabolism and toxicity	N/A
speech and language disorder	N/A
open wound of nose and sinus	N/A
fasting serum igfbp-1 (ng/ml) in children	N/A
select biomarker traits	N/A
asthma (corticosteroid response)	N/A
circulating cell-free dna	GO_0008219
dna methylation	GO_0006306
red blood cell traits	HP_0001873
antineutrophil cytoplasmic antibody (anca)-associated vasculitis	N/A
osteoporosis-related phenotypes	EFO_0003882
malignant neoplasm of renal pelvis	EFO_0003865
plasma vitamin b12	EFO_0000734
migraine	EFO_0003821
"type 2 diabetes, end stage renal disease"	EFO_0000401
beta carotene	EFO_0005878
number of sunburns	EFO_0003958
information processing speed (8-choice reaction time)	EFO_0003925
ykl-40 levels	N/A
attention deficit hyperactivity disorder motor coordination	EFO_0003888
postprandial triglyceride response to high fat diet meal	EFO_0004211
time-to-recurrence during lithium treatment for bipolar disorder	N/A
lymphocyte levels (cd4:cd8)	HP_0100827
chronic obstructive pulmonary disease-related biomarkers	EFO_0000341
pc aa c36:3/pc aa c36:4  concentration	N/A
treatment outcomes for selective serotonin reuptake inhibitors (ssris)	N/A
normal tension glaucoma	EFO_0000516
insulinogenic index	EFO_0002614
white matter integrity	HP_0002352
diet fat (%energy) in children	N/A
total cholesterol at age 12	HP_0003124
hiv-1 progression	EFO_0000764
